Nº Hogares;EDAD DUEÑA DE CASA;N°INDIVIDUOS;GSE;GSE1;PADRES;CANTIDAD DE HIJOS;OTRO PARIENTE;HOMBRES EN EL HOGAR;MUJERES EN EL HOGAR;ESTADO CIVIL;NIVEL EDUC.JEFE DE HOGAR;Vivienda;Servicios Básicos;telecomunicaciones ;transporte;salud;educación;recreación y cultura;Alimentación;Vestuario y Calzado;Otros;articulos de belleza;articulos de aseo (Personal y del Hogar);ARRIENDO;DIVIDENDO;GASTOSCOMUNES;AGUA;ELECTRICIDAD;GAS;CALEFACCION;COMPRAARTEFACTOSCALEFACCIONESTUFASETC;TELEFONOFIJO;INTERNET;TVCABLE;TRANSPORTE_FURGON ESCOLAR;COMBUSTIBLE_LIQUIDO_GAS;SALUD MEDICA EN GENERAL;SALUD DENTAL EN GENERAL;MEDICAMENTOS                                                                                                                                                                 (AUTOMEDICACION Y PRESCRIPCION MEDICA;EDUCACION                                                                                                                                                                               (MATRICULA Y ARANCEL PRE BASICA);EDUCACION   (MATRICULA Y ARANCEL  BASICA);EDUCACION (MATRICULA Y ARANCEL MEDIA);EDUCACION                                                                                                                                                                                    (MATRICULA Y ARANCEL SUPERIOR);MANTENIMIENTO Y REPARACION DE                                                                                                                                      INFRAESTRUCTURA DOMICILIARIA;BIENES DURABLES                                                                                                                                (MUEBLES,ELECTRODOMESTICOS,ETC);SERVICIO DOMESTICO;DECORACION HOGAR;ARTICULOS DE BEBE;ARTICULOS DE NIÑOS;TELEFONO MOVIL;TRANSPORTE (LOCOMOCION COLECTIVA);RECREACION Y CULTURA;HOBBIES;ALMUERZO DIARIO FUERA DEL HOGAR;VESTUARIO Y CALZADO DE VESTIR;ZAPATILLAS;ARTICULOS DE BELLEZA;ASEO HOGAR;BEBESTIBLES CALIENTES;BEBESTIBLES FRIOS;ALIMENTOS NO PERECIBLES;ALIMENTOS PERECIBLES;CUIDADO PERSONAL
1;44;5;C1;ALTO;AMBOS;3;0;2;3;CASADO;TECNICA COMPLETA DE EDUCACION SUPERIOR;492.000;219.000;225.000;550.000;189.000;1.300.000;410.000;119.180;130.000;120.000;183.000;31.692;430.000;;62000;47.000;49.000;68.000;55.000;;11.000;29.000;;;550000;147000;;42000;;;320.000;980.000;;;120000;;;;185000;;410000;;;130000;;183000;3.197;2890;27.721;23.658;64.911;28.495
2;52;3;C1;ALTO;AMBOS;1;0;2;1;CASADO;POST GRADO;34.000;190.000;126.100;387.000;91.000;0;53.000;110.092;137.000;200.000;0;21.544;;;;46.000;43.000;58.000;43.000;;15.700;15.700;15.700;;320000;30000;;61000;;;;;34.000;;200000;;;;79000;67.000;53000;;;137000;;;6.370;;31.673;10.903;67.516;15.174
3;56;2;C1;ALTO;AMBOS;1;0;1;1;VIUDO;UNIVERSITARIA COMPLETA;0;141.600;101.700;180.000;36.000;0;97.000;51.495;63.200;140.000;53.000;44.541;;;;20.000;19.600;72.000;30.000;;14.900;14.900;14.900;;180000;36000;;;;;;;;;140000;;;;57000;;97000;;;63200;;53000;14.786;3803;8.572;12.489;26.631;29.755
4;49;3;C3;MEDIO;SOLO MADRE;2;0;1;2;SEPARADO;TECNICA COMPLETA DE EDUCACION SUPERIOR;0;53.000;89.000;20.000;13.000;0;0;61.183;0;15.000;3.000;23.789;;;;12.000;11.000;30.000;;;;29.000;;;;8000;;5000;;;;;;;;;;15000;60000;20.000;;;;;;3000;2.196;;2.613;19.871;38.699;21.593
5;39;3;C3;MEDIO;SOLO MADRE;2;0;1;2;VIUDO;MEDIA COMPLETA;0;62.000;46.000;50.000;15.000;36.000;5.000;30.354;0;0;0;5.586;;;;10.000;18.000;20.000;14.000;;18.000;18.000;;;40000;;;15000;;36.000;;;;;;;;;10000;10.000;5000;;;;;;;1.990;2.461;7.129;18.774;5.586
6;42;4;C3;MEDIO;AMBOS;2;0;2;2;CASADO;MEDIA COMPLETA;0;78.000;23.000;10.000;0;48.000;17.000;60.757;25.000;300.000;6.000;21.754;;;;15.000;15.000;28.000;20.000;;;;;;;;;;;18.000;30.000;;;;;;;300000;23000;10.000;15000;2000;;25000;;6000;2.134;;16.317;10.354;34.086;19.620
7;33;4;D;BAJO;AMBOS;2;0;2;2;CONVIVIENTE;BASICA COMPLETA;105.000;55.000;10.000;30.000;20.000;0;0;96.989;50.000;23.000;25.000;33.092;80.000;;;12.000;18.000;14.000;11.000;;;;;;;5000;;15000;;;;;25.000;;;;6000;17000;10000;30.000;;;;30000;20000;25000;18.703;3.213;8.232;31.826;53.718;14.389
8;49;3;D;BAJO;AMBOS;1;0;2;1;CASADO;BASICA INCOMPLETA;54.000;49.000;20.000;28.000;30.000;0;0;43.989;47.000;150.000;990;17.812;;54.000;;6.000;11.000;22.000;10.000;30000;10.000;;;;;;;30000;;;;;;120000;;;;;10000;28.000;;;;15000;32000;990;8.025;380;6.251;7.863;29.495;9.787
9;70;4;D;BAJO;SOLO MADRE;1;2;2;2;VIUDO;BASICA INCOMPLETA;0;80.000;67.800;45.000;0;6.000;0;65.152;0;0;5.000;9.818;;;;19.000;30.000;25.000;6.000;;14.000;14.000;24.800;20000;;;;;;6.000;;;;;;;;;15000;25.000;;;;;;5000;4.500;1.200;5.092;18.483;40.377;5.318
10;43;4;E;BAJO;AMBOS;2;0;1;3;CASADO;MEDIA COMPLETA;76.000;80.000;16.000;24.000;0;0;0;58.246;0;0;1.000;5.516;;;;22.000;22.000;26.000;10.000;;;8.000;;;;;;;;;;;76.000;;;;;;8000;24.000;;;;;;1000;1.490;;10.684;13.405;34.157;4.026
11;40;4;C2;MEDIO;AMBOS;2;0;3;1;CONVIVIENTE;TECNICA COMPLETA DE EDUCACION SUPERIOR;167.000;104.000;60.000;80.000;40.000;15.000;15.000;170.168;30.000;517.000;28.000;55.684;;127.000;;16.000;28.000;30.000;30.000;400000;10.000;10.000;10.000;;30000;;40000;;;15.000;;;40.000;;110000;;7000;;30000;50.000;15000;;20000;30000;;28000;15.602;10.769;11.890;45.007;82.502;40.082
12;84;3;C3;MEDIO;SOLO MADRE;1;1;1;2;VIUDO;MEDIA INCOMPLETA;0;67.000;53.000;70.000;0;30.000;10.000;85.638;65.000;10.000;10.000;19.471;;;;9.000;18.000;20.000;20.000;;20.000;18.000;;;60.000;;;;;;30.000;;;;;10.000;;;15.000;10.000;10.000;;20.000;40.000;25.000;10.000;7.874;3.232;3.480;29.455;29.471;11.597
13;71;2;C3;MEDIO;AMBOS;0;0;1;1;CASADO;BASICA INCOMPLETA;140.000;95.000;54.000;50.000;30.000;0;0;73.366;0;0;15.000;16.889;;;;11.000;28.000;28.000;28.000;;14.000;14.000;14.000;;20.000;;;30.000;;;;;140.000;;;;;;12.000;30.000;;;;;;15.000;7.953;3.963;14.239;23.810;31.354;8.936
14;31;4;D;BAJO;AMBOS;2;0;2;2;CONVIVIENTE;MEDIA COMPLETA;0;37.000;28.500;44.000;10.000;52.000;20.000;77.655;160.000;22.000;3.000;25.861;;;;;22.000;15.000;;;;;;10.000;;;;10.000;44.000;8.000;;;;;;;;22.000;28.500;34.000;20.000;;10.000;130.000;30.000;3.000;11.058;2.462;11.618;29.821;23.754;14.803
15;45;4;D;BAJO;AMBOS;2;0;1;3;CONVIVIENTE;MEDIA COMPLETA;90.000;49.000;44.000;40.000;0;0;0;42.360;12.000;4.000;12.000;15.566;90.000;;;5.000;11.000;22.000;11.000;;20.000;10.000;;;;;;;;;;;;;;2.000;;2.000;14.000;40.000;;;;12.000;;12.000;710;;7.434;12.527;22.399;14.856
16;29;4;E;BAJO;AMBOS;2;0;1;3;CASADO;BASICA INCOMPLETA;30.000;35.000;4.000;6.000;0;5.000;15.000;56.622;0;85.000;10.000;13.169;;;;9.000;12.000;14.000;;;;;;;;;;;;5.000;;;30.000;80.000;;5.000;;;4.000;6.000;15.000;;;;;10.000;5.450;600;5.286;15.154;35.582;7.719
17;48;6;C3;MEDIO;AMBOS;4;0;3;3;CASADO;MEDIA COMPLETA;36.000;55.000;49.990;45.000;0;0;0;69.225;10.000;0;6.000;15.773;;;;22.000;11.000;22.000;;;;19.990;;;20.000;;;;;;;;36.000;;;;;;30.000;25.000;;;30.000;;10.000;6.000;5.610;1.200;4.726;6.358;26.941;10.163
