nombre,n_concursados,n_aprobados,año
UNIV. DE CHILE,289,123,2015
PONT. UNIV. CATOLICA DE CHILE,225,108,2015
UNIV. DE CONCEPCION,112,46,2015
PONT. UNIV. CATOLICA DE VALPARAISO,2,1,2015
UNIV. TECNICA FEDERICO SANTA MARIA,40,18,2015
UNIV. DE SANTIAGO DE CHILE,1,1,2015
UNIV. AUSTRAL DE CHILE,22,5,2015
UNIV. CATOLICA DEL NORTE,6,1,2015
UNIV. DE VALPARAISO,11,1,2015
UNIV. DE ANTOFAGASTA,3,2,2015
UNIV. DE LA SERENA,5,3,2015
UNIV. DEL BIO-BIO,39,19,2015
UNIV. DE LA FRONTERA,28,11,2015
UNIV. DE PLAYA ANCHA CS. EDUCACION,6,0,2015
UNIV. FINIS TERRAE,48,6,2015
UNIV. ADOLFO IBANEZ,0,0,2015
UNIV. ANDRES BELLO,15,5,2015
UNIV. DE MAGALLANES,5,0,2015
UNIV. DE TALCA,18,5,2015
UNIV. DE ATACAMA,5,1,2015
UNIV. DE TARAPACA,10,1,2015
UNIV. SANTO TOMAS,17,5,2015
UNIV. ACADEMIA DE HUMANISMO CRISTIANO,4,1,2015
UNIV. MAYOR,17,9,2015
UNIV. ARTURO PRAT,7,0,2015
UNIV. DIEGO PORTALES,6,0,2015
UNIV. DE LOS ANDES,4,0,2015
UNIV. BERNARDO O'HIGGINS,1,0,2015
UNIV. AUTONOMA DE CHILE,1,0,2015
UNIV. UCINF,1,0,2015
UNIV. DEL DESARROLLO,1,0,2015
UNIV. SAN SEBASTIAN,70,33,2015
UNIV. CATOLICA DE TEMUCO,50,24,2015
UNIV. CATOLICA DE LA STMA. CONCEPCION,77,31,2015
UNIV. CATOLICA DEL MAULE,68,30,2015
UNIV. DE LOS LAGOS,37,10,2015
UNIV. TECNOLOGICA METROPOLITANA,33,9,2015
UNIV. ALBERTO HURTADO,14,2,2015
UNIV. CATOLICA CARDENAL SILVA HENRIQUEZ,16,3,2015
UNIV. METROPOLITANA DE CS.DE LA EDUCACION,30,4,2015
UNIV. CENTRAL DE CHILE,34,16,2015
UNIV. ADVENTISTA DE CHILE,6,1,2015
UNIV. ARTES Y CIENCIAS SOCIALES,2,1 ,2015
UNIV. DEL PACIFICO,18,9 ,2015
UNIV. VINA DEL MAR,49,17,2015
